Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
3600234534,Chưa niêm yết,CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),Nguyễn Thị Lệ Hồng,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
0100104595,MVN,TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Nguyễn Cảnh Tĩnh,Vận tải đường biển,"9,983,942","13,269,462",Hà Nội
0104831030,Chưa niêm yết,CÔNG TY TNHH NHÀ NƯỚC MTV THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL,Phạm Văn Hùng,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
3700306630,Chưa niêm yết,CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,Chen I Shen,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Bình Dương
0302158498,HBC,CÔNG TY CP TẬP ĐOÀN XÂY DỰNG HÒA BÌNH,Lê Viết Hiếu,Xây dựng,"11,224,653","11,355,969",TP Hồ Chí Minh
0301444753,NVL,CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,Nguyễn ngọc Huyên,Kinh doanh bất động sản,"5,026,358","14,902,760",TP Hồ Chí Minh
0300381564,CAV (HOSE),CÔNG TY CP DÂY CÁP ĐIỆN VIỆT NAM,Lê Quang Định,"Sản xuất, kinh doanh thiết bị điện","10,578,973","10,479,096",TP Hồ Chí Minh
3700477019,NKG,CÔNG TY CP THÉP NAM KIM,Võ Hoàng Vũ,"Sản xuất, gia công kim loại, sắt thép, kim khí…","11,559,675","28,173,402",Bình Dương
1100598642,Chưa niêm yết,CÔNG TY CP GREENFEED VIỆT NAM,Đỗ Cao Bằng,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Long An
3700321364,POM,CÔNG TY CP THÉP POMINA,Đỗ Văn Khánh,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,819,652","14,000,250",Bình Dương
0100233223,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN T&T,Đỗ Quang Hiển,Dịch vụ tài chính khác,,,Hà Nội
0311638525,ACV,TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,Vũ Thế Phiệt,Hoạt động khác hỗ trợ cho vận tải,"7,767,469","4,752,036",TP Hồ Chí Minh
3700146458,Chưa niêm yết,TỔNG CÔNG TY THƯƠNG MẠI XUẤT NHẬP KHẨU THANH LỄ - CTCP,Đoàn Minh Quang,Kinh doanh xăng dầu và các sản phẩm liên quan,"10,669,958","11,901,762",Bình Dương
2900325526,BAB,NGÂN HÀNG TMCP BẮC Á,Thái Hương,Ngân hàng,"2,031,071","2,117,228",Nghệ An
0300100037,Chưa niêm yết,TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MTV,Lê Minh Trang,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
2300105790,DBC,CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Nguyễn Khắc Thảo,"Sản xuất, kinh doanh thức ăn chăn nuôi","10,021,584","10,812,795",Bắc Ninh
0100151161,PVI,CÔNG TY CP PVI,Bùi Vạn Thuận,Bảo hiểm,"1,480,551","1,581,149",Hà Nội
0103414411,Chưa niêm yết,CÔNG TY CP THỰC PHẨM SỮA TH,Rami Hamad,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,,Hà Nội
4600100155,Chưa niêm yết,CÔNG TY CP GANG THÉP THÁI NGUYÊN,Nguyễn Minh Hạnh,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,566,187","12,857,295",Thái Nguyên
0302336158,VGP,CÔNG TY CP CẢNG RAU QUẢ,Đặng Như Bình,"Kho bãi, bốc xếp hàng hóa","9,238,488","10,319,544",TP Hồ Chí Minh
0100108173,VGC,TỔNG CÔNG TY VIGLACERA - CTCP,Nguyễn Anh Tuấn,"Sản xuất, kinh doanh vật liệu xây dựng","9,433,049","11,194,313",Hà Nội
0300872315,Chưa niêm yết,NGÂN HÀNG TMCP NAM Á,Trần Ngọc Tâm,Ngân hàng,"2,603,945","4,283,189",TP Hồ Chí Minh
5701942544,Chưa niêm yết,CÔNG TY TNHH TẬP ĐOÀN BIM,Đoàn Quốc Huy,Kinh doanh bất động sản,,,Quảng Ninh
1100549268,Chưa niêm yết,CÔNG TY CP SẢN XUẤT THÉP VINA ONE,Huỳnh Nghĩa Thiện,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
0301450108,Chưa niêm yết,CÔNG TY CP DAIKIN AIR CONDITIONING (VIETNAM),Lý Thị Phương Trang,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
0301049150,Chưa niêm yết,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN,Hồ Minh Trí,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
