Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN,Neo Gim Siong Bennett,0300583659,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","27,961,324","26,373,746",TP Hồ Chí Minh
TỔNG CÔNG TY XI MĂNG VIỆT NAM,Bùi Hồng Minh,0100106320,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
TỔNG CÔNG TY PHÁT ĐIỆN 2 - CTCP,Ngô Việt Hải,1800590430,"Sản xuất, truyền tải, phân phối điện","26,001,102","9,940,645",Cần Thơ
LIÊN DOANH VIỆT - NGA VIETSOVPETRO,Nguyễn Quỳnh Lâm,3500102414,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,,Bà Rịa - Vũng Tàu
TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM - CTCP,Huỳnh Văn Bảo,0301266564,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","4,893,496","5,558,860",TP Hồ Chí Minh
CÔNG TY TNHH MTV VÀNG BẠC ĐÁ QUÝ SÀI GÒN - SJC,Lê Thúy Hằng,0301045759,"Bán lẻ vàng, bạc và kim loại quý khác",,,TP Hồ Chí Minh
CÔNG TY TNHH MTV TỔNG CÔNG TY TÂN CẢNG SÀI GÒN,Ngô Minh Thuấn,0300514849,"Kho bãi, bốc xếp hàng hóa",,,TP Hồ Chí Minh
TỔNG CÔNG TY BƯU ĐIỆN VIỆT NAM,Chu Quang Hào,0102595740,"Bưu chính, chuyển phát",,,Hà Nội
CÔNG TY TNHH ZUELLIG PHARMA VIỆT NAM,Charles Antoine Gloor,0100915699,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
TỔNG CÔNG TY CP DỊCH VỤ KỸ THUẬT DẦU KHÍ VIỆT NAM,Lê Mạnh Cường,0100150577,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,769,373","3,811,176",TP Hồ Chí Minh
TỔNG CÔNG TY CP ĐẦU TƯ QUỐC TẾ VIETTEL,Nguyễn Duy Thọ,0102409426,Viễn thông,"5,436,579","5,850,500",Hà Nội
CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM,Uday Shankar Sinha,0300816663,"Sản xuất, chế biến và kinh doanh đồ uống không cồn",,,TP Hồ Chí Minh
TỔNG CÔNG TY THUỐC LÁ VIỆT NAM,Trần Sơn Châu,0101216069,"Sản xuất, chế biến và kinh doanh thuốc lá",,,Hà Nội
TỔNG CÔNG TY ĐÔNG BẮC,Phạm Ngọc Tuyển,5700101468,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,Quảng Ninh
TỔNG CÔNG TY TRUYỀN TẢI ĐIỆN QUỐC GIA,Nguyễn Mạnh Hùng,0102743068,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
"CENTRAL RETAIL (GO! BIG C, TOP MARKET)",Olivier Langlet,0105696842,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
CÔNG TY TNHH OLAM VIỆT NAM,Amit Verma,6000346337,Hoạt động nông nghiệp khác,,,Đắk Nông
TỔNG CÔNG TY CP BƯU CHÍNH VIETTEL,Hoàng Trung Thành,0104093672,"Bưu chính, chuyển phát","17,234,282","21,452,032",Hà Nội
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM,Trần Đình Quân,0301851276,Bảo hiểm,,,TP Hồ Chí Minh
